"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"252","150610",23833,12128,11705,0,5201,4355,2572,5315,4243,2147,0,0,0
"253","150611",23159,11659,11500,0,5003,4256,2400,5262,4198,2040,0,0,0
"254","150613",112250,59194,53056,0,31020,20914,7260,28699,17983,6374,0,0,0
"255","150616",24240,12454,11786,0,6067,4789,1598,5882,4443,1461,0,0,0
"256","150618",57091,29836,27254,1,14198,11416,4222,13881,10114,3259,1,0,0
"257","150619",34782,17704,17078,0,8952,6715,2037,8915,6156,2007,0,0,0
"258","150620",89904,46701,43203,0,20911,16994,8796,20315,15715,7173,0,0,0
"259","150630",36163,18463,17700,0,8209,6559,3695,8422,6313,2965,0,0,0
"260","150635",41356,21395,19961,0,9856,8107,3432,9621,7487,2853,0,0,0
"261","150640",8702,4196,4506,0,2064,1528,604,2312,1594,600,0,0,0
"262","150650",96911,50944,45967,0,23735,19329,7880,22714,17376,5876,0,0,0
"263","150655",39369,20669,18699,1,9156,7659,3854,8775,6886,3038,1,0,0
"264","150658",18435,8383,10052,0,4272,3143,968,5004,3815,1233,0,0,0
"265","150660",34982,18722,16260,0,9515,6881,2326,8504,5873,1883,0,0,0
"266","150670",30596,15614,14982,0,8236,5812,1566,7930,5368,1684,0,0,0
"267","150680",595306,313004,282302,0,144940,118907,49157,137684,106269,38349,0,0,0
"268","150690",11462,5619,5843,0,2575,2041,1003,2828,2128,887,0,0,0
"269","150700",51445,26818,24627,0,12682,10323,3813,12298,9363,2966,0,0,0
"270","150710",31805,16547,15258,0,7180,6199,3168,7153,5792,2313,0,0,0
"271","150715",29562,15363,14199,0,7776,5844,1743,7416,5206,1577,0,0,0
"272","150720",64421,32267,32154,0,13684,11703,6880,14347,11732,6075,0,0,0
"273","150730",49835,24144,25691,0,14161,7772,2211,14916,8148,2627,0,0,0
"274","150740",35025,17877,17148,0,7780,6480,3617,7858,6266,3024,0,0,0
"275","150745",24690,12160,12530,0,6302,4587,1271,6468,4542,1520,0,0,0
"276","150746",10057,5092,4965,0,2247,1923,922,2339,1855,771,0,0,0
"277","150747",37786,19398,18388,0,8801,7031,3566,8837,6594,2957,0,0,0
"278","150750",11801,5617,6184,0,3024,2062,531,3435,2167,582,0,0,0
"279","150760",92632,49237,43395,0,22419,18503,8315,20932,16426,6037,0,0,0
"280","150770",38317,19699,18618,0,9481,7583,2635,9498,7028,2092,0,0,0
"281","150775",8121,3926,4195,0,2019,1414,493,2246,1455,494,0,0,0
"282","150780",15375,7514,7861,0,3759,2715,1040,4098,2788,975,0,0,0
"283","150790",44340,23662,20678,0,10614,8366,4682,10256,7464,2958,0,0,0
"284","150795",88395,46656,41739,0,23580,16787,6289,22186,14660,4893,0,0,0
"285","150796",20081,9981,10100,0,4501,3642,1838,4745,3723,1632,0,0,0
"286","150797",29897,15055,14842,0,6631,5461,2963,6879,5426,2537,0,0,0
"287","150800",106836,53855,52978,3,26388,20177,7290,27050,19377,6551,1,2,0
"288","150803",60410,29999,30411,0,13385,11351,5263,14120,11563,4728,0,0,0
"289","150805",16391,8218,8173,0,4228,2950,1040,4276,2898,999,0,0,0
"290","150808",43462,21476,21986,0,11272,8300,1904,11666,8165,2155,0,0,0
"291","150810",167333,86457,80876,0,40204,31483,14770,39527,29158,12191,0,0,0
"292","150812",40190,20463,19727,0,10376,7290,2797,10376,6859,2492,0,0,0
"293","150815",36928,18814,18114,0,9718,7171,1925,9597,6737,1780,0,0,0
"294","150820",61599,32257,29341,1,16627,12435,3195,15870,11012,2459,0,1,0
"295","150830",70547,36792,33755,0,19754,12821,4217,19267,11525,2963,0,0,0
"296","150835",23496,12116,11380,0,5531,4484,2101,5428,4215,1737,0,0,0
"297","150840",55443,29669,25774,0,15170,11071,3428,13573,9251,2950,0,0,0
"298","160005",7676,3615,4061,0,1600,1325,690,1842,1413,806,0,0,0
"299","160010",15133,7852,7281,0,3348,2797,1707,3359,2618,1304,0,0,0
"300","160015",22698,10806,11892,0,4855,4107,1844,5180,4425,2287,0,0,0
"301","160020",14622,7249,7373,0,3368,2739,1142,3617,2739,1017,0,0,0
"302","160021",8026,4003,4023,0,1818,1476,709,1980,1446,597,0,0,0
"303","160023",11929,6041,5888,0,2774,2202,1065,2852,2143,893,0,0,0
"304","160025",6533,3095,3438,0,1552,1046,497,1820,1207,411,0,0,0
"305","160027",66810,33461,33349,0,15161,12260,6040,15892,12207,5250,0,0,0
"306","160030",784640,421061,363576,3,197359,153562,70140,177841,131781,53954,1,1,1
"307","160040",29016,15132,13884,0,7252,5404,2476,7119,4887,1878,0,0,0
"308","160050",27316,12951,14365,0,6386,4522,2043,7228,4975,2162,0,0,0
"309","160053",28048,13909,14137,2,6380,5043,2486,6815,4995,2327,1,0,1
"310","160055",5590,2828,2762,0,1327,1034,467,1376,998,388,0,0,0
"311","160060",198852,103527,95325,0,47240,38315,17972,45779,35052,14494,0,0,0
"312","160070",20147,10174,9973,0,4557,3698,1919,4777,3617,1579,0,0,0
"313","160080",21093,10822,10271,0,5099,3955,1768,5117,3724,1430,0,0,0
"314","170025",4250,2014,2236,0,888,731,395,1024,806,406,0,0,0
"315","170030",9225,4832,4393,0,2296,1624,912,2214,1452,727,0,0,0
"316","170035",10426,5206,5220,0,2271,1919,1016,2388,1904,928,0,0,0
"317","170040",12226,6060,6166,0,2756,2273,1031,2957,2307,902,0,0,0
"318","170070",17496,8880,8616,0,3964,3389,1527,3956,3256,1404,0,0,0
"319","170100",15982,8259,7723,0,3832,3152,1275,3808,2865,1050,0,0,0
"320","170105",5128,2545,2583,0,1126,918,501,1169,916,498,0,0,0
"321","170110",7131,3619,3512,0,1655,1414,550,1647,1298,567,0,0,0
"322","170130",10873,5395,5478,0,2454,2010,931,2555,2018,905,0,0,0
"323","170190",10833,5592,5241,0,2448,2041,1103,2381,1886,974,0,0,0
"324","170200",15668,7835,7833,0,3297,2881,1657,3406,2849,1578,0,0,0
"325","170210",302993,163183,139808,2,73331,61427,28425,65612,51327,22869,2,0,0
"326","170215",6213,3102,3111,0,1551,1173,378,1570,1133,408,0,0,0
"327","170220",45492,23598,21894,0,11362,8802,3434,10874,7990,3030,0,0,0
"328","170230",12099,6155,5944,0,2758,2162,1235,2809,2093,1042,0,0,0
"329","170240",21060,10493,10567,0,4420,3769,2304,4761,3830,1976,0,0,0
"330","170255",31164,16336,14828,0,7943,6217,2176,7451,5444,1933,0,0,0
"331","170270",5982,3031,2951,0,1239,1051,741,1305,1057,589,0,0,0
"332","170290",17163,8923,8240,0,4279,3404,1240,4089,2979,1172,0,0,0
"333","170300",14847,7317,7530,0,3201,2647,1469,3502,2665,1363,0,0,0
"334","170305",5242,2592,2650,0,1227,1030,335,1278,1008,364,0,0,0
